Episode,Steps,Reward,MaxReward,Epsilon,AvgLoss,AvgQValue
1145,462,23638,23669,0.0100,60.0074,17.2896
1146,466,23637,23669,0.0100,60.2520,17.2896
1147,460,23607,23669,0.0100,59.7761,17.2896
1148,462,23573,23669,0.0100,58.5736,17.2896
1149,468,23625,23669,0.0100,56.8609,17.2896
1150,464,23639,23669,0.0100,56.9087,17.2896
1151,460,23652,23669,0.0100,57.2569,17.2896
1152,463,23609,23669,0.0100,56.2297,17.2896
1153,330,133,23669,0.0100,55.2777,17.2896
1154,193,-3481,23669,0.0100,52.9964,17.2896
1155,464,23642,23669,0.0100,55.3886,17.2896
1156,174,-4767,23669,0.0100,53.2023,17.2896
1157,188,-3099,23669,0.0100,53.8065,17.2896
1158,466,23639,23669,0.0100,54.5603,17.2896
1159,187,-3104,23669,0.0100,54.9738,17.2896
1160,467,23604,23669,0.0100,53.6989,17.2896
1161,231,-2384,23669,0.0100,52.3009,17.2896
1162,233,-2318,23669,0.0100,51.8314,17.2896
1163,191,-1975,23669,0.0100,50.9963,17.2896
1164,466,23605,23669,0.0100,50.6468,17.2896
1165,301,-902,23669,0.0100,49.3842,17.2896
1166,222,-3046,23669,0.0100,50.0289,17.2896
1167,188,-2431,23669,0.0100,51.0227,17.2896
1168,464,23626,23669,0.0100,49.9002,17.2896
1169,463,23639,23669,0.0100,50.6308,17.2896
1170,466,23597,23669,0.0100,48.3728,17.2896
1171,174,-4786,23669,0.0100,51.5212,17.2896
1172,464,23609,23669,0.0100,49.6636,17.2896
1173,470,23614,23669,0.0100,47.8049,17.2896
1174,470,23608,23669,0.0100,48.0378,17.2896
1175,187,-2644,23669,0.0100,47.2245,17.2896
1176,189,-2598,23669,0.0100,47.5838,17.2896
1177,462,23605,23669,0.0100,47.2861,17.2896
1178,307,-107,23669,0.0100,47.1793,17.2896
1179,188,-2827,23669,0.0100,45.3309,17.2896
1180,190,-2334,23669,0.0100,44.7747,17.2896
1181,466,23584,23669,0.0100,44.7023,17.2896
1182,189,-2268,23669,0.0100,43.2986,17.2896
1183,473,23634,23669,0.0100,45.3700,17.2896
1184,408,1851,23669,0.0100,44.8259,17.2896
1185,466,23636,23669,0.0100,43.3661,17.2896
1186,467,23624,23669,0.0100,43.0960,17.2896
1187,465,23639,23669,0.0100,42.7749,17.2896
1188,191,-3058,23669,0.0100,42.1555,17.2896
1189,189,-1640,23669,0.0100,42.6311,17.2896
1190,188,-2441,23669,0.0100,42.3184,17.2896
1191,223,-2987,23669,0.0100,41.8669,17.2896
1192,464,23632,23669,0.0100,42.6669,17.2896
1193,461,23619,23669,0.0100,41.5611,17.2896
1194,188,-2867,23669,0.0100,41.4165,17.2896
1195,464,23617,23669,0.0100,41.7714,17.2896
1196,463,23626,23669,0.0100,39.8577,17.2896
1197,228,-2940,23669,0.0100,41.0433,17.2896
1198,188,-2213,23669,0.0100,39.2805,17.2896
1199,469,23623,23669,0.0100,40.7229,17.2896
1200,190,-3530,23669,0.0100,39.6512,17.2896
1201,461,23619,23669,0.0100,39.3171,17.2896
1202,171,-4827,23669,0.0100,39.2640,17.2896
1203,232,-2340,23669,0.0100,38.3815,17.2896
1204,416,1923,23669,0.0100,38.2501,17.2896
1205,221,-2589,23669,0.0100,38.7729,17.2896
1206,227,-2960,23669,0.0100,38.1161,17.2896
1207,188,-2441,23669,0.0100,38.1274,17.2896
1208,325,-440,23669,0.0100,38.3023,17.2896
1209,188,-2226,23669,0.0100,38.2291,17.2896
1210,189,-2426,23669,0.0100,37.9309,17.2896
1211,189,-2206,23669,0.0100,36.5004,17.2896
1212,417,1877,23669,0.0100,36.7549,17.2896
1213,461,23611,23669,0.0100,36.4771,17.2896
1214,227,-2969,23669,0.0100,35.9043,17.2896
1215,224,-2998,23669,0.0100,36.6370,17.2896
1216,13,-9080,23669,0.0100,36.0117,17.2896
1217,226,-2946,23669,0.0100,37.2220,17.2896
1218,194,-2864,23669,0.0100,35.5832,17.2896
1219,193,-2722,23669,0.0100,35.9861,17.2896
1220,189,-1773,23669,0.0100,36.0140,17.2896
1221,187,-2278,23669,0.0100,35.9375,17.2896
1222,231,-2899,23669,0.0100,35.5991,17.2896
1223,233,-2316,23669,0.0100,35.1227,17.2896
1224,468,23593,23669,0.0100,34.2034,17.2896
1225,196,-3458,23669,0.0100,34.0587,17.2896
1226,466,23585,23669,0.0100,33.7158,17.2896
1227,413,1861,23669,0.0100,32.9637,17.2896
1228,352,2438,23669,0.0100,34.0576,17.2896
1229,467,23627,23669,0.0100,33.3369,17.2896
1230,336,171,23669,0.0100,32.9982,17.2896
1231,230,-2941,23669,0.0100,31.7180,17.2896
1232,196,-2087,23669,0.0100,32.2214,17.2896
1233,189,-2475,23669,0.0100,31.9058,17.2896
1234,192,-1859,23669,0.0100,32.0246,17.2896
1235,226,-3014,23669,0.0100,32.3678,17.2896
1236,463,23603,23669,0.0100,31.4602,17.2896
1237,460,23579,23669,0.0100,31.9702,17.2896
1238,223,-3007,23669,0.0100,31.0839,17.2896
1239,222,-3043,23669,0.0100,30.4575,17.2896
1240,189,-2623,23669,0.0100,30.9599,17.2896
1241,194,-2551,23669,0.0100,30.5314,17.2896
1242,464,23664,23669,0.0100,30.4221,17.2896
1243,224,-2997,23669,0.0100,29.3581,17.2896
1244,234,-2882,23669,0.0100,30.0888,17.2896
1245,40,-8890,23669,0.0100,28.7504,17.2896
1246,235,-2315,23669,0.0100,30.8707,17.2896
1247,469,23617,23669,0.0100,29.3641,17.2896
1248,462,23619,23669,0.0100,29.8805,17.2896
1249,232,-2875,23669,0.0100,28.9126,17.2896
1250,192,-3193,23669,0.0100,29.5231,17.2896
1251,234,-2894,23669,0.0100,29.0640,17.2896
1252,172,-4784,23669,0.0100,28.4901,17.2896
1253,172,-4798,23669,0.0100,29.8781,17.2896
1254,98,-6430,23669,0.0100,27.8380,17.2896
1255,460,23633,23669,0.0100,28.5848,17.2896
1256,465,23603,23669,0.0100,28.4103,17.2896
