Episode 980, Steps: 19, Reward: -4988, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 2191.1761
Episode 990, Steps: 31, Reward: -4826, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1608.2851
Episode 1000, Steps: 76, Reward: -4875, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1274.3420
Episode 1010, Steps: 49, Reward: -4931, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1152.8826
Episode 1020, Steps: 13, Reward: -4957, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1383.6897
Episode 1030, Steps: 43, Reward: -4986, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1287.1970
Episode 1040, Steps: 21, Reward: -4911, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 2068.4437
Episode 1050, Steps: 32, Reward: -4966, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 967.0175
Episode 1060, Steps: 96, Reward: -4715, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 1312.6362
Episode 1070, Steps: 15, Reward: -4907, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 773.3101
Episode 1080, Steps: 55, Reward: -4730, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 938.6313
Episode 1090, Steps: 34, Reward: -4975, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 707.7058
Episode 1100, Steps: 22, Reward: -4866, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 625.6373
Episode 1110, Steps: 37, Reward: -4814, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 748.7435
Episode 1120, Steps: 47, Reward: -4865, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 697.6954
Episode 1130, Steps: 15, Reward: -4896, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 694.2261
Episode 1140, Steps: 41, Reward: -5015, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 640.4846
Episode 1150, Steps: 13, Reward: -4926, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 661.4054
Episode 1160, Steps: 25, Reward: -4934, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 511.7612
Episode 1170, Steps: 80, Reward: -4875, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 467.0971
Episode 1180, Steps: 29, Reward: -5008, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 534.1551
Episode 1190, Steps: 18, Reward: -4892, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 419.7361
Episode 1200, Steps: 15, Reward: -4960, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 301.7088
Episode 1210, Steps: 19, Reward: -4948, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 490.2422
Episode 1220, Steps: 13, Reward: -4954, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 368.1784
Episode 1230, Steps: 20, Reward: -4926, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 285.8574
Episode 1240, Steps: 39, Reward: -5031, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 313.9939
Episode 1250, Steps: 14, Reward: -4990, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 415.7833
Episode 1260, Steps: 11, Reward: -4924, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 620.4435
Episode 1270, Steps: 92, Reward: -5076, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 2713.2995
Episode 1280, Steps: 12, Reward: -4968, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 6477.4597
